Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
h2,1333-74-0,toluene,108-88-3,0.0232,25,0.9768,76.0,[HH],CC1=CC=CC=C1,59.481987,220,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.0092,35,0.9908,16.5,N#N,COC,11.968121,391,1,2
methane,74-82-8,ethanol,64-17-5,0.092,40,0.908,84.3,C,CCO,87.27832,289,1,2
n2,7727-37-9,n-propionaldehyde,123-38-6,0.038,20,0.962,75.0,N#N,CCC=O,76.18742,465,1,2
h2,1333-74-0,dimethyl-ether,115-10-6,0.01,33,0.99,19.6,[HH],COC,16.468712,128,1,2
h2,1333-74-0,n-hexane,110-54-3,0.0134,25,0.9866,19.2,[HH],CCCCCC,19.46555,180,1,2
n2,7727-37-9,toluene,108-88-3,0.088,50,0.912,211.7,N#N,CC1=CC=CC=C1,207.47849,494,1,2
n2,7727-37-9,ethanol,64-17-5,0.0069,25,0.9931,20.333,N#N,CCO,17.156162,419,1,2
h2,1333-74-0,cyclohexane,110-82-7,0.0071,30,0.9929,17.16,[HH],C1CCCCC1,18.272423,101,1,2
h2,1333-74-0,acetone,67-64-1,0.0144,50,0.9856,42.40000000000001,[HH],CC(=O)C,45.65435,35,1,2
h2,1333-74-0,acetone,67-64-1,0.0079,25,0.9921,27.5,[HH],CC(=O)C,16.054401,25,1,2
n2,7727-37-9,ethyl acetate,141-78-6,0.0073,30,0.9927,12.529,N#N,CCOC(=O)C,11.635429,427,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.0415,25,0.9585,41.7,N#N,COC,41.905006,384,1,2
n2,7727-37-9,1-propanol,71-23-8,0.0054,25,0.9946,13.761,N#N,CCCO,10.438671,334,1,2
h2,1333-74-0,dimethyl-ether,115-10-6,0.046,33,0.954,52.1,[HH],COC,76.88365,134,1,2
methane,74-82-8,acetone,67-64-1,0.136,50,0.864,82.5,C,CC(=O)C,81.54251,271,1,2
n2,7727-37-9,acetone,67-64-1,0.058,30,0.942,119.9,N#N,CC(=O)C,107.37169,347,1,2
