Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
n2,7727-37-9,ethyl acetate,141-78-6,0.0021,30,0.9979,3.6202,N#N,CCOC(=O)C,3.4339676,425,3,1
methane,74-82-8,acetone,67-64-1,0.136,50,0.864,82.5,C,CC(=O)C,80.5341,271,3,1
methane,74-82-8,toluene,108-88-3,0.15,40,0.85,70.8,C,CC1=CC=CC=C1,69.07885,327,3,1
h2,1333-74-0,toluene,108-88-3,0.0121,30,0.9879,36.38,[HH],CC1=CC=CC=C1,31.936172,229,3,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0042,25,0.9958,11.59,[HH],COCCOC,9.6118355,0,3,1
n2,7727-37-9,methyl formate,107-31-3,0.0058,30,0.9942,13.707,N#N,COC=O,20.962177,439,3,1
h2,1333-74-0,n-hexane,110-54-3,0.0411,25,0.9589,60.00000000000001,[HH],CCCCCC,59.299877,184,3,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.03,39,0.97,75.0,[HH],CCC=O,73.65141,198,3,1
h2,1333-74-0,n-hexane,110-54-3,0.0134,25,0.9866,19.2,[HH],CCCCCC,14.057644,180,3,1
h2,1333-74-0,acetone,67-64-1,0.0152,25,0.9848,54.1,[HH],CC(=O)C,35.10166,29,3,1
h2,1333-74-0,dimethyl-ether,115-10-6,0.005,33,0.995,14.0,[HH],COC,5.628067,126,3,1
n2,7727-37-9,acetone,67-64-1,0.054,30,0.946,110.7,N#N,CC(=O)C,104.257416,346,3,1
h2,1333-74-0,n-butyl acetate,123-86-4,0.014,18,0.986,31.0,[HH],CCCCOC(=O)C,17.539524,177,3,1
h2,1333-74-0,methyl formate,107-31-3,0.0053,18,0.9947,40.7,[HH],COC=O,13.7826,167,3,1
n2,7727-37-9,1-propanol,71-23-8,0.002,25,0.998,5.136,N#N,CCCO,4.1493835,332,3,1
h2,1333-74-0,chlorobenzene,108-90-7,0.007,23,0.993,25.2,[HH],C1=CC=C(C=C1)Cl,22.799225,75,3,1
h2,1333-74-0,DMF,68-12-2,0.0076,50,0.9924,42.8,[HH],CN(C)C=O,55.406002,147,3,1
h2,1333-74-0,cyclohexane,110-82-7,0.0048,30,0.9952,12.02,[HH],C1CCCCC1,11.404686,99,3,1
n2,7727-37-9,toluene,108-88-3,0.109,50,0.891,277.5,N#N,CC1=CC=CC=C1,259.99164,495,3,1
n2,7727-37-9,n-hexane,110-54-3,0.0325,30,0.9675,24.454,N#N,CCCCCC,28.890608,461,3,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.017,20,0.983,25.0,[HH],CCC=O,27.553102,188,3,1
h2,1333-74-0,ethyl formate,109-94-4,0.0074,18,0.9926,26.1,[HH],CCOC=O,12.130882,158,3,1
n2,7727-37-9,benzene,71-43-2,0.0119,40,0.9881,25.38,N#N,C1=CC=CC=C1,31.312315,374,3,1
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.001,40,0.999,9.14,C,COCCOCCOCCO,17.714016,234,3,1
n2,7727-37-9,acetone,67-64-1,0.053,50,0.947,97.3,N#N,CC(=O)C,109.049225,353,3,1
h2,1333-74-0,THF,109-99-9,0.0261,25,0.9739,96.6,[HH],C1CCOC1,72.51858,210,3,1
h2,1333-74-0,n-propionaldehyde,123-38-6,0.115,20,0.885,175.0,[HH],CCC=O,190.24979,194,3,1
n2,7727-37-9,n-butyl acetate,123-86-4,0.0237,30,0.9763,29.184,N#N,CCCCOC(=O)C,31.30017,450,3,1
n2,7727-37-9,ethanol,64-17-5,0.001,25,0.999,3.028,N#N,CCO,-0.42116165,415,3,1
n2,7727-37-9,acetone,67-64-1,0.058,30,0.942,119.9,N#N,CC(=O)C,111.298645,347,3,1
methane,74-82-8,n-butanol,71-36-3,0.087,30,0.913,50.9,C,CCCCO,45.732185,296,3,1
methane,74-82-8,acetone,67-64-1,0.0725,50,0.9275,42.8,C,CC(=O)C,52.475704,267,3,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0074,50,0.9926,17.07,[HH],COCCOC,23.339432,4,3,1
methane,74-82-8,benzene,71-43-2,0.106,20,0.894,49.03,C,C1=CC=CC=C1,34.961105,272,3,1
