Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure COSMO (bar),SMILES 1,SMILES 2
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.7,0,0.3,22.04560541571,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.8,0,0.2,26.35192904086,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.9,0,0.1,30.80065521203,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.1,25,0.9,4.602491266269999,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.2,25,0.8,9.52862885997,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.3,25,0.7,14.8293505004,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.4,25,0.6,20.55977518513,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.5,25,0.5,26.78005227443,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.6,25,0.4,33.54799815479,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.7,25,0.3,40.89776644292,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.8,25,0.2,48.78171298367,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.9,25,0.1,56.91290553216,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.1,50,0.9,7.86435273874,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.2,50,0.8,16.25492560066,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.3,50,0.7,25.26186265231,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.4,50,0.6,34.97342763984,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.5,50,0.5,45.48537109871,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.6,50,0.4,56.88887182846,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.7,50,0.3,69.23607924684,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.8,50,0.2,82.44673598439,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,"(1,1-dimethylethyl)benzene",98-06-6,0.9,50,0.1,96.05520267305,C(=O)=O,CC(C)(C)C1=CC=CC=C1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.1,0,0.9,2.39702533792,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.2,0,0.8,4.99830509631,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.3,0,0.7,7.83483901865,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.4,0,0.6,10.93993535652,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.5,0,0.5,14.34658540429,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.6,0,0.4,18.0805054847,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.7,0,0.3,22.1429634091,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.8,0,0.2,26.4738517296,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.9,0,0.1,30.87362001592,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.1,25,0.9,4.57788180104,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.2,25,0.8,9.51024454397,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.3,25,0.7,14.85062153284,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.4,25,0.6,20.65262266603,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.5,25,0.5,26.96817224956,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.6,25,0.4,33.83582845183,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.7,25,0.3,41.25246710694999,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.8,25,0.2,49.11302446571,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.9,25,0.1,57.08279058808,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.1,50,0.9,7.92678592253,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.2,50,0.8,16.41270379621,C(=O)=O,C=CCOCC1CO1
co2,124-38-9,(2-propenyloxy)methyl-oxirane,106-92-3,0.3,50,0.7,25.55117996377,C(=O)=O,C=CCOCC1CO1
